brand,product_code,product_name,category,animal_materials,material_type,quantity_used,color,pattern_or_texture,manufacturing_process,country_of_origin,date_of_manufacture,sustainable_certification,ethics_notes,estimated_price_usd,availability_status,harms_to_animal,conservation_status,traceability_notes,needs_brand_model_verification,needs_color_name_verification,needs_cert_docs,product_code_validation_regex,product_code_is_valid_format,official_product_name,official_style_code,official_product_url,official_description,official_product_details,official_color_name,product_code_status,product_code_notes,pdp_found
Versace,5045702035405,Palazzo Empire,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Ethically sourced leather,3000.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9\-]{5,15}$",True,Palazzo Empire,5045702035405,,,,,Verified,Updated from authoritative user list,False
Valentino,5045702035405,Rockstud,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,3500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9]{6,12}$",True,Rockstud,5045702035405,,,,,Verified,Updated from authoritative user list,False
Burberry,5045702035405,Small Lola,Bag,Lambskin,Leather,1 hide,Black,Quilted,Machine-made,United Kingdom,2023,FSC,Leather sourced from sustainable farms,2200.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9]{7,10}$",False,Small Lola,5045702035405,,,,,Verified,Updated from authoritative user list,False
Prada,2VG039_9Z2_F0002_V_MOO,Saffiano Lux Tote,Bag,Calfskin,Leather,1 hide,Red,Textured,Machine-made,Italy,2023,FSC,Ethically sourced leather,1800.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,Saffiano Lux Tote,2VG039_9Z2_F0002_V_MOO,https://www.prada.com/ww/en/p/saffiano-leather-tote/2VG039_9Z2_F0002_V_MOO.html,"Black Saffiano leather tote with enameled metal triangle logo, zipper closure and interior pockets.",Product code: 2VG039_9Z2_F0002_V_MOO; Height: 30cm; Width: 40cm; Length: 9cm; Flat leather handles; Prada logo nylon lining; Interior zip pocket,,Verified (PDP-crawled),Updated from authoritative user list,True
Prada,,Prada Product 5,Belt,Ostrich Leather,Leather,1 hide,Monogram,Grain,Handcrafted,France,2023,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,2707.68,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9]{1,6}(?:_[A-Z0-9]{2,6}){2,5}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Saint Laurent,1BA863_NZV_F0002_V_EOO,Cassandre,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,2500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Cassandre,1BA863_NZV_F0002_V_EOO,,,,,Verified,Updated from authoritative user list,False
Burberry,,Burberry Product 7,Bag,Lambskin (Sheepskin),Leather,1 hide,Beige,Grain,Hand-stitched,Italy,2020,CITES; LWG-certified tannery (if applicable),Ethically sourced leather,93915.65,In Stock,Livestock slaughter byproduct used for leather; welfare varies by supply chain,Not CITES-listed (domesticated livestock),Request tannery LWG certificate & lot traceability; country-of-origin for hides,True,True,True,"^[A-Z0-9]{7,10}$",False,,,,,,,Missing (awaiting official match),Cleared non-official placeholder; needs catalog match,False
Miu Miu,5045702035405,Coffer,Bag,Calfskin,Leather,1 hide,Black,Smooth,Handcrafted,Italy,2023,FSC,Leather sourced from sustainable farms,2500.0,In stock,Leather tanning process may cause harm,Not endangered,Traceable supply chain,False,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,Coffer,5045702035405,,,,,Verified,Updated from authoritative user list,False
Saint Laurent,100756.0,Saint Laurent Product 9,Belt,Ostrich Leather,Leather,1 hide,Monogram,Textured,Machine-made,Italy,2023,CITES; LWG-certified tannery (if applicable),Strict sourcing from certified farms,36317.12,In Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9][A-Z0-9\-\s_]{3,}$",True,,,,,,,,,False
Versace,385517.0,Versace Product 10,Shoes,Ostrich Leather,Leather,1 hide,Brown,Smooth,Machine-made,France,2023,LWG-certified tannery (if applicable),Leather sourced from sustainable farms,13240.39,Out Of Stock,Farmed birds slaughtered for leather/feathers; welfare depends on farm standards,IUCN: Least Concern (population decreasing),Request farm-of-origin and tannery documentation; batch traceability recommended,True,True,True,"^[A-Z0-9\-]{5,15}$",True,,,,,,,,,False
